sku,name,supplier,replacement_sku,is_exchange
012116500,ידית בקרה מכלל,,,לא
012116519,ידית בקרה משבק מכלל,,,לא
012116527,זרוע מכלל דוושת מאיץ,,,לא
012116802,זרוע מכלל בקרת משנק,,,לא
012116837,מוט חיבור מכלל הפעלה משנק דלק,,,לא
012116985,מוט בקרה מכלל מדיד מצערת A1,,,לא
012118007,מהדקת צינור פליטה עמם,,,לא
012118015,מהדקת מצמד צינור פליטת מפרק,,,לא
012118503,מכסה רדיאטור מכלל,,,לא
012118597,מצנן מים,,,לא
012118813,צינור מים טרמוסטט אלומיניום,,,לא
012118821,צינור יציאה טרמוסטת סיליק,,,לא
012118830,גוף בית טרמוסטט קירור מנוע,,,לא
012118864,מכסה טרמוסטט מכלל,,,לא
012118872,טרמוסטט קירור מנוע,,,לא
012118899,צינורית מים עקומה רדיאטור,,,לא
012118902,מהדקת צינור אוררור רדיאטור,,,לא
012118910,צינור גומי הקזה אויר 72 סמ,,,לא
012118929,מהדקת צינור גומי רדיאטור,,,לא
012118937,מחבר ברך צינור רדיאטור,,,לא
012118945,תותב צינור רדיאטור,,,לא
012118953,ברך צינור אוגן יציאת מנוע רדיטור,,,לא
012118961,אטם אוגן ברך יציאת מנוע רדיטור,,,לא
012118970,מחבר ברך מים,,,לא
012118996,אטם אוגן ברך צינור כניסה מנוע,,,לא
012119011,צינור ברך כניסה רדיטור,,,לא
012119020,מהדקת צינור רדיטור יציאת מים,,,לא
012119038,צינור רדיאטור יציאת מים,,,לא
012119089,סתם גומי טרמוסטט,,,לא
012119097,זרנוק רדיאטור סיליקוני,,,לא
012119801,גלגלת מתיחה רצועת מכלל,,,לא
012120303,גלגילה כפולה סרק רצועה מאורר,,,לא
012120478,יתד גל הנע מאוורר קירור רדיאטור,,,לא
012120532,אום משושה סגר גל הנע אימפלר,,,לא
012120583,בית מסב גל הנע מאוור קירור,,,לא
012120591,פין חיזוק בית מסב גל הנע מאורר,,,לא
012120605,מסב כדוריות גל הנע מאורר קירו,,,לא
012120613,גל הנע מאורר קירור מנוע,,,לא
012120621,"טבעת חסימה ""O"" קצה גל הנעה מאוו",,,לא
012120656,ממסר הגברת מהירות הינע מאורר,,,לא
012122292,גלגילה כפולה אלטרנטור,,,לא
012122411,אלטרנטור מכלול,,,לא
